School,Address,Latitude,Longitude
47 The American Sign Language and English Secondary School,"223 EAST 23 STREET MANHATTAN, NY 10010",40.738373,-73.981628
ACORN Community High School,"561 GRAND AVENUE BROOKLYN, NY 11238",40.678651,-73.961911
Andries Hudde,"2500 NOSTRAND AVENUE BROOKLYN, NY 11210",40.623753,-73.946487
Aspirations Diploma Plus High School,"402 EASTERN PARKWAY BROOKLYN, NY 11225",40.669717,-73.955112
Automotive High School,"50 BEDFORD AVENUE BROOKLYN, NY 11222",40.722244,-73.953291
Aviation Career & Technical Education High School,"45-30 36 STREET QUEENS, NY 11101",40.743581,-73.929218
BATTERY PARK CITY SCHOOL,"55 BATTERY PLACE MANHATTAN, NY 10280",40.706368,-74.017653
Bayside High School,"32-24 CORPORAL KENNEDY STREET QUEENS, NY 11361",40.771495,-73.780689
Benjamin N. Cardozo High School,"57-00 223RD STREET BAYSIDE, NY 11364",40.751844,-73.755909
Brighter Choice Community School,"280 HART STREET BROOKLYN, NY 11206",40.693964,-73.940769
Bronx Alliance Middle School,"3750 BAYCHESTER AVENUE BRONX, NY 10466",40.886044,-73.840577
Bronx Arena High School,"1440 STORY AVENUE BRONX, NY 10473",40.821113,-73.880582
Bronx High School for the Visual Arts,"2040 ANTIN PL BRONX, NY 10462",40.851544,-73.864696
Bronx Leadership Academy High School,"1710 WEBSTER AVENUE BRONX, NY 10457",40.843403,-73.903135
Bronx Regional High School,"1010 REV. J. A. POLITE AVENUE BRONX, NY 10459",40.825629,-73.893605
Bronx Studio School for Writers and Artists,"928 SIMPSON STREET BRONX, NY 10459",40.820451,-73.893111
Brooklyn Arbor Elementary School,"325 SOUTH 3 STREET BROOKLYN, NY 11211",40.709787,-73.954718
Brooklyn College Academy - Bridge to Brooklyn,"350 CONEY ISLAND AVENUE BROOKLYN, NY 11218",40.64918,-73.971859
Brooklyn Landmark Elementary School,"251 MAC DOUGAL STREET BROOKLYN, NY 11233",40.680456,-73.910372
Central Park East High School,"1573 MADISON AVENUE MANHATTAN, NY 10029",40.793907,-73.949097
Cobble Hill School of American Studies,"347 BALTIC STREET BROOKLYN, NY 11201",40.684568,-73.99086
College Point Collaborative,"12406 14TH AVENUE QUEENS, NY 11356",40.785234,-73.843373
Collegiate Institute for Math and Science,"925 ASTOR AVENUE BRONX, NY 10469",40.8599,-73.860322
Community Health Academy of the Heights,"504 WEST 158TH STREET MANHATTAN, NY 10032",40.833606,-73.942262
Community Voices Middle School,"145-00 SPRINGFIELD BOULEVARD QUEENS, NY 11413",40.66463,-73.759125
Crotona International High School,"2474 CROTONA AVENUE BRONX, NY 10458",40.855298,-73.882703
Curtis High School,"105 HAMILTON AVENUE STATEN ISLAND, NY 10301",40.646002,-74.082823
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,"605 SHEPHERD AVENUE BROOKLYN, NY 11208",40.669482,-73.879457
Eagle Academy for Young Men,"4143 THIRD AVENUE BRONX, NY 10457",40.845256,-73.897071
East Flatbush Community Research School,"905 WINTHROP STREET BROOKLYN, NY 11203",40.658644,-73.928571
"Elementary School for Math, Science, and Technology","125 EAST 181 STREET BRONX, NY 10453",40.855024,-73.90336
Evergreen M.S. for Urban Exploration,"125 COVERT STREET BROOKLYN, NY 11207",40.688805,-73.910047
Eximius College Preparatory Academy: A College Board School,"1363 FULTON AVENUE BRONX, NY 10456",40.833861,-73.902511
Expeditionary Learning School for Community Leaders,"2630 BENSON AVENUE BROOKLYN, NY 11214",40.593992,-73.985748
Fairmont Neighborhood School,"1550 VYSE AVENUE BRONX, NY 10460",40.834283,-73.88725
Fannie Lou Hamer Freedom High School,"1021 JENNINGS STREET BRONX, NY 10460",40.83093,-73.886116
Fort Hamilton High School,"8301 SHORE ROAD BROOKLYN, NY 11209",40.627236,-74.039738
Franklin Delano Roosevelt High School,"5800 20 AVENUE BROOKLYN, NY 11204",40.591132,-73.983367
Frederick Douglass Academy,"2581 7TH AVENUE MANHATTAN, NY 10039",40.823921,-73.937305
GRANT AVENUE ELEMENTARY SCHOOL,"250 EAST 164 STREET BRONX, NY 10456",40.828333,-73.917277
Goldie Maple Academy,"3-65 BEACH 56 STREET QUEENS, NY 11692",40.592532,-73.785879
"Gregory Jocko Jackson School of Sports, Art and Technology (The)","213 OSBORN STREET BROOKLYN, NY 11212",40.667022,-73.907987
Harlem Renaissance High School,"22 EAST 128 STREET MANHATTAN, NY 10035",40.807816,-73.939912
Harry S Truman High School,"750 BAYCHESTER AVENUE BRONX, NY 10475",40.874114,-73.833119
High School for Environmental Studies,"444 WEST 56 STREET MANHATTAN, NY 10019",40.767928,-73.988097
"High School for Law, Advocacy and Community Justice","122 AMSTERDAM AVENUE MANHATTAN, NY 10023",40.774469,-73.984959
High School for Public Service: Heroes of Tomorrow,"600 KINGSTON AVENUE BROOKLYN, NY 11203",40.658815,-73.942978
High School of World Cultures,"1300 BOYNTON AVENUE BRONX, NY 10472",40.831814,-73.878702
Hillcrest High School,"160-05 HIGHLAND AVENUE QUEENS, NY 11432",40.709264,-73.802174
I.S. 024 Myra S. Barnes,"750 DURANT AVENUE STATEN ISLAND, NY 10308",40.545711,-74.146009
I.S. 027 Anning S. Prall,"11 CLOVE LAKE PLACE STATEN ISLAND, NY 10310",40.628294,-74.117066
I.S. 059 Springfield Gardens,"132-55 RIDGEDALE STREET QUEENS, NY 11413",40.682017,-73.753133
I.S. 061 Leonardo Da Vinci,"98-50 50 AVENUE QUEENS, NY 11368",40.742626,-73.862756
I.S. 068 Isaac Bildersee,"956 EAST 82 STREET BROOKLYN, NY 11236",40.635281,-73.910731
I.S. 072 Rocco Laurie,"33 FERNDALE AVENUE STATEN ISLAND, NY 10314",40.592757,-74.158633
I.S. 093 Ridgewood,"66-56 FOREST AVENUE QUEENS, NY 11385",40.705855,-73.902827
I.S. 117 Joseph H. Wade,"1865 MORRIS AVENUE BRONX, NY 10453",40.848605,-73.908568
I.S. 125 Thom J. McCann Woodside,"46-02 47 AVENUE QUEENS, NY 11377",40.740919,-73.918688
I.S. 136 Charles O. Dewey,"4004 4 AVENUE BROOKLYN, NY 11232",40.654686,-74.011323
I.S. 141 The Steinway,"37-11 21 AVENUE QUEENS, NY 11105",40.775564,-73.904739
I.S. 171 Abraham Lincoln,"528 RIDGEWOOD AVENUE BROOKLYN, NY 11208",40.686042,-73.869468
I.S. 211 John Wilson,"1001 EAST 100 STREET BROOKLYN, NY 11236",40.642933,-73.895605
I.S. 219 New Venture School,"3630 THIRD AVENUE BRONX, NY 10456",40.833781,-73.904118
I.S. 228 David A. Boody,"228 AVENUE S BROOKLYN, NY 11223",40.601113,-73.976772
I.S. 229 Roland Patterson,"275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",40.852635,-73.92127
I.S. 237,"46-21 COLDEN STREET QUEENS, NY 11355",40.7493,-73.821548
I.S. 238 - Susan B. Anthony Academy,"88-15 182 STREET QUEENS, NY 11423",40.712772,-73.780173
I.S. 281 Joseph B Cavallaro,"8787 24 AVENUE BROOKLYN, NY 11214",40.595213,-73.97443
I.S. 285 Meyer Levin,"5909 BEVERLY ROAD BROOKLYN, NY 11203",40.647075,-73.92071
I.S. 30 Mary White Ovington,"7002 4TH AVENUE BROOKLYN, NY 11209",40.633472,-74.024209
I.S. 303 Herbert S. Eisenberg,"501 WEST AVENUE BROOKLYN, NY 11224",40.582219,-73.972478
I.S. 318 Eugenio Maria De Hostos,"101 WALTON STREET BROOKLYN, NY 11206",40.703136,-73.948139
I.S. 340,"227 STERLING PLACE BROOKLYN, NY 11238",40.676104,-73.969848
I.S. 347 School of Humanities,"35 STARR STREET BROOKLYN, NY 11221",40.700259,-73.928096
I.S. 49 Berta A. Dreyfus,"101 WARREN STREET STATEN ISLAND, NY 10304",40.620549,-74.081526
I.S. 528 Bea Fuller Rodgers School,"180 WADSWORTH AVENUE MANHATTAN, NY 10033",40.850649,-73.934557
I.S. 98 Bay Academy,"1401 EMMONS AVENUE BROOKLYN, NY 11235",40.583363,-73.953828
I.S. R002 George L. Egbert,"333 MIDLAND AVENUE STATEN ISLAND, NY 10306",40.57702,-74.100577
International HS at Lafayette,"2630 BENSON AVENUE BROOKLYN, NY 11214",40.593992,-73.985748
International School for Liberal Arts,"2780 RESERVOIR AVENUE BRONX, NY 10468",40.87068,-73.897591
Irwin Altman Middle School 172,"81-14 257 STREET QUEENS, NY 11004",40.741554,-73.712978
J.H.S. 008 Richard S. Grossley,"108-35 167 STREET QUEENS, NY 11433",40.697092,-73.786932
J.H.S. 050 John D. Wells,"183 SOUTH 3 STREET BROOKLYN, NY 11211",40.711685,-73.959952
J.H.S. 052 Inwood,"650 ACADEMY STREET MANHATTAN, NY 10034",40.865586,-73.92476
J.H.S. 054 Booker T. Washington,"103 WEST 107 STREET MANHATTAN, NY 10025",40.800467,-73.963283
J.H.S. 057 Whitelaw Reid,"125 STUYVESANT AVENUE BROOKLYN, NY 11221",40.691223,-73.933529
J.H.S. 062 Ditmas,"700 CORTELYOU ROAD BROOKLYN, NY 11218",40.638574,-73.97124
J.H.S. 078 Roy H. Mann,"1420 EAST 68 STREET BROOKLYN, NY 11234",40.620922,-73.912836
J.H.S. 098 Herman Ridder,"1619 BOSTON ROAD BRONX, NY 10460",40.836061,-73.890597
J.H.S. 104 Simon Baruch,"330 EAST 21 STREET MANHATTAN, NY 10010",40.735926,-73.980544
J.H.S. 123 James M. Kieran,"1025 MORRISON AVENUE BRONX, NY 10472",40.825007,-73.873767
J.H.S. 127 The Castle Hill,"1560 PURDY STREET BRONX, NY 10462",40.838132,-73.853406
J.H.S. 131 Albert Einstein,"885 BOLTON AVENUE BRONX, NY 10473",40.8235,-73.859806
J.H.S. 143 Eleanor Roosevelt,"511 WEST 182ND STREET MANHATTAN, NY 10033",40.849099,-73.931106
J.H.S. 144 Michelangelo,"2545 GUNTHER AVENUE BRONX, NY 10469",40.864196,-73.836304
J.H.S. 189 Daniel Carter Beard,"144-80 BARCLAY AVENUE QUEENS, NY 11355",40.760409,-73.818014
J.H.S. 201 The Dyker Heights,"8010 12 AVENUE BROOKLYN, NY 11228",40.595124,-73.97512
J.H.S. 202 Robert H. Goddard,"138-30 LAFAYETTE STREET QUEENS, NY 11417",40.670832,-73.845489
J.H.S. 210 Elizabeth Blackwell,"93-11 101 AVENUE QUEENS, NY 11416",40.683993,-73.8475
J.H.S. 218 James P. Sinnott,"370 FOUNTAIN AVENUE BROOKLYN, NY 11208",40.670685,-73.874446
J.H.S. 220 John J. Pershing,"4812 9TH AVENUE BROOKLYN, NY 11220",40.640773,-74.000808
J.H.S. 227 Edward B. Shallow,"6500 16 AVENUE BROOKLYN, NY 11204",40.595211,-73.974729
J.H.S. 234 Arthur W. Cunningham,"1875 EAST 17 STREET BROOKLYN, NY 11229",40.604348,-73.955318
J.H.S. 259 William Mckinley,"7305 FT HAMILTON PARKWAY BROOKLYN, NY 11228",40.626338,-74.015141
J.H.S. 278 Marine Park,"1925 STUART STREET BROOKLYN, NY 11229",40.606618,-73.938868
J.H.S. 291 Roland Hayes,"231 PALMETTO STREET BROOKLYN, NY 11221",40.6955,-73.915174
J.H.S. 292 Margaret S. Douglas,"301 VERMONT STREET BROOKLYN, NY 11207",40.671343,-73.893606
James Madison High School,"3787 BEDFORD AVENUE BROOKLYN, NY 11229",40.609881,-73.948215
James Weldon Johnson,"176 EAST 115 STREET MANHATTAN, NY 10029",40.797488,-73.941443
John Dewey High School,"50 AVENUE X BROOKLYN, NY 11223",40.588188,-73.981718
Jonas Bronck Academy,"400 EAST FORDHAM ROAD BRONX, NY 10458",40.860899,-73.891931
Life Sciences Secondary School,"320 EAST 96 STREET MANHATTAN, NY 10128",40.783406,-73.94585
Locke School of Arts and Engineering (The),"20 WEST 112 STREET MANHATTAN, NY 10026",40.79843,-73.949399
M.S. 061 Dr. Gladstone H. Atwell,"400 EMPIRE BOULEVARD BROOKLYN, NY 11225",40.663889,-73.948375
M.S. 113 Ronald Edmonds Learning Center,"300 ADELPHI STREET BROOKLYN, NY 11205",40.688487,-73.97112
M.S. 131,"100 HESTER STREET MANHATTAN, NY 10002",40.716455,-73.993533
M.S. 137 America's School of Heroes,"109-15 98 STREET QUEENS, NY 11417",40.67829,-73.839647
M.S. 158 Marie Curie,"46-35 OCEANIA STREET QUEENS, NY 11361",40.755866,-73.772465
M.S. 180 Dr. Daniel Hale Williams,"700 BAYCHESTER AVENUE BRONX, NY 10475",40.873204,-73.832179
M.S. 260 Clinton School Writers & Artists,"10 East 15th Street MANHATTAN, NY 10003",40.736259,-73.992362
M.S. 301 Paul L. Dunbar,"890 CAULDWELL AVENUE BRONX, NY 10456",40.822084,-73.90722
M.S. 302 Luisa Dessus Cruz,"681 KELLY STREET BRONX, NY 10455",40.815676,-73.90177
M.S.129 Academy for Independent Learning and Leadership,"2055 MAPES AVENUE BRONX, NY 10460",40.845682,-73.886532
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,"111 EAST 33RD STREET MANHATTAN, NY 10016",40.746224,-73.980996
"Magnet School of Math, Science and Design Technology","511 7 AVENUE BROOKLYN, NY 11215",40.594703,-73.965808
Martin Van Buren High School,"230-17 HILLSIDE AVENUE QUEENS, NY 11427",40.733685,-73.738723
Middle College High School,"1186 CARROLL STREET BROOKLYN, NY 11225",40.667082,-73.951145
Middle School 322,"4600 BROADWAY MANHATTAN, NY 10040",40.861017,-73.93013
Middle School for Art and Philosophy,"1084 LENOX ROAD BROOKLYN, NY 11212",40.657957,-73.920276
Mott Hall Bronx High School,"1595 BATHGATE AVENUE BRONX, NY 10457",40.839288,-73.901601
Mott Hall High School,"6 EDGECOMBE AVENUE MANHATTAN, NY 10030",40.817386,-73.947448
New Design High School,"350 GRAND STREET MANHATTAN, NY 10002",40.717348,-73.989595
New Dorp High School,"465 NEW DORP LANE STATEN ISLAND, NY 10306",40.569578,-74.107377
"New Explorations into Science, Technology and Math High School","111 COLUMBIA STREET MANHATTAN, NY 10002",40.71914,-73.979371
New Millenium Business Acad. MS,"1000 TELLER AVENUE BRONX, NY 10456",40.827892,-73.914175
Origins High School,"3000 AVENUE X BROOKLYN, NY 11235",40.594005,-73.937395
P.S. /I.S. 384 Frances E. Carter,"242 COOPER STREET BROOKLYN, NY 11207",40.690113,-73.904894
P.S. 001 Alfred E. Smith,"8 HENRY STREET MANHATTAN, NY 10038",40.712661,-73.997517
P.S. 001 The Bergen,"309 47 STREET BROOKLYN, NY 11220",40.649091,-74.011833
P.S. 002 Alfred Zimberg,"75-10 21 AVENUE QUEENS, NY 11370",40.770195,-73.894005
P.S. 002 Meyer London,"122 HENRY STREET MANHATTAN, NY 10002",40.713167,-73.99135
P.S. 004 Duke Ellington,"500 WEST 160 STREET MANHATTAN, NY 10032",40.834847,-73.941204
P.S. 004 Maurice Wollin,"200 NEDRA LANE STATEN ISLAND, NY 10312",40.552373,-74.195516
P.S. 005 Dr. Ronald Mcnair,"820 HANCOCK STREET BROOKLYN, NY 11233",40.685546,-73.922603
P.S. 005 Ellen Lurie,"3703 TENTH AVENUE MANHATTAN, NY 10034",40.85892,-73.922428
P.S. 007 Abraham Lincoln,"858 JAMAICA AVENUE BROOKLYN, NY 11208",40.689594,-73.872989
P.S. 008 Issac Varian,"3010 BRIGGS AVENUE BRONX, NY 10458",40.872402,-73.883651
P.S. 008 Luis Belliard,"465 WEST 167 STREET MANHATTAN, NY 10032",40.839031,-73.936713
P.S. 009 Sarah Anderson,"100 WEST 84 STREET MANHATTAN, NY 10024",40.785287,-73.973745
P.S. 011 Highbridge,"1257 OGDEN AVENUE BRONX, NY 10452",40.839672,-73.925699
P.S. 011 William T. Harris,"320 WEST 21 STREET MANHATTAN, NY 10011",40.744466,-74.000772
P.S. 012 James B. Colgate,"42-00 72 STREET QUEENS, NY 11377",40.742363,-73.892978
P.S. 013 Clement C. Moore,"55-01 94 STREET QUEENS, NY 11373",40.737342,-73.868169
P.S. 013 Roberto Clemente,"557 PENNSYLVANIA AVENUE BROOKLYN, NY 11207",40.663642,-73.893547
P.S. 014 Fairview,"107-01 OTIS AVENUE QUEENS, NY 11368",40.740865,-73.854178
P.S. 015 Patrick F. Daly,"71 SULLIVAN STREET BROOKLYN, NY 11231",40.67711,-74.011445
P.S. 016 John J. Driscoll,"195 DANIEL LOW TERRACE STATEN ISLAND, NY 10301",40.639614,-74.079933
P.S. 017 Henry D. Woodworth,"208 NORTH 5 STREET BROOKLYN, NY 11211",40.715362,-73.956968
P.S. 018 Edward Bush,"101 MAUJER STREET BROOKLYN, NY 11206",40.71072,-73.946899
P.S. 018 John G. Whittier,"221 BROADWAY STATEN ISLAND, NY 10310",40.636836,-74.117346
P.S. 018 John Peter Zenger,"502 MORRIS AVENUE BRONX, NY 10451",40.816426,-73.92299
P.S. 019 Asher Levy,"185 1 AVENUE MANHATTAN, NY 10003",40.729735,-73.984018
P.S. 020 Port Richmond,"161 PARK AVENUE STATEN ISLAND, NY 10302",40.636739,-74.132576
P.S. 021 Crispus Attucks,"180 CHAUNCEY STREET BROOKLYN, NY 11233",40.680632,-73.926256
P.S. 021 Edward Hart,"147-36 26 AVENUE QUEENS, NY 11354",40.774352,-73.817933
P.S. 021 Philip H. Sheridan,"715 EAST 225 STREET BRONX, NY 10466",40.887664,-73.859729
P.S. 022 Graniteville Extension,"1860 FOREST AVENUE STATEN ISLAND, NY 10303",40.625168,-74.151187
P.S. 026 The Carteret School,"4108 VICTORY BOULEVARD STATEN ISLAND, NY 10314",40.591679,-74.190284
P.S. 028 Mount Hope,"1861 ANTHONY AVENUE BRONX, NY 10457",40.84829,-73.90355
P.S. 028 Wright Brothers,"475 WEST 155 STREET MANHATTAN, NY 10032",40.831546,-73.942404
P.S. 030 Westerleigh,"200 WARDWELL AVENUE STATEN ISLAND, NY 10314",40.618018,-74.132847
P.S. 031 Samuel F. Dupont,"75 MESEROLE AVENUE BROOKLYN, NY 11222",40.726753,-73.954039
P.S. 031 William T. Davis,"55 LAYTON AVENUE STATEN ISLAND, NY 10301",40.64174,-74.085515
P.S. 032 Belmont,"690 EAST 183 STREET BRONX, NY 10458",40.852013,-73.886056
P.S. 033 Timothy Dwight,"2424 JEROME AVENUE BRONX, NY 10468",40.861675,-73.901633
P.S. 036 Margaret Douglas,"123 MORNINGSIDE DRIVE MANHATTAN, NY 10027",40.810509,-73.957399
P.S. 036 Unionport,"1070 CASTLE HILL AVENUE BRONX, NY 10472",40.829418,-73.850258
P.S. 038 The Pacific,"450 PACIFIC STREET BROOKLYN, NY 11217",40.685094,-73.982632
P.S. 041 Francis White,"411 THATFORD AVENUE BROOKLYN, NY 11212",40.660349,-73.90725
P.S. 041 Greenwich Village,"116 WEST 11 STREET MANHATTAN, NY 10011",40.73556,-73.999014
P.S. 041 Gun Hill Road,"3352 OLINVILLE AVENUE BRONX, NY 10467",40.874514,-73.868021
P.S. 042 Benjamin Altman,"71 HESTER STREET MANHATTAN, NY 10002",40.715983,-73.99088
P.S. 042 Claremont,"1537 WASHINGTON AVENUE BRONX, NY 10457",40.83856,-73.903026
P.S. 044 Marcus Garvey,"432 MONROE STREET BROOKLYN, NY 11221",40.686421,-73.940983
P.S. 044 Thomas C. Brown,"80 MAPLE PARKWAY STATEN ISLAND, NY 10303",40.631621,-74.156757
P.S. 046 Alley Pond,"64-45 218 STREET QUEENS, NY 11364",40.745298,-73.758167
P.S. 046 Arthur Tappan,"2987 FREDERICK DOUGLASS BOULEVARD MANHATTAN, NY 10039",40.831491,-73.935885
P.S. 046 Edgar Allan Poe,"279 EAST 196 STREET BRONX, NY 10458",40.86695,-73.890627
P.S. 047 John Randolph,"1794 EAST 172 STREET BRONX, NY 10472",40.83274,-73.866996
P.S. 048 Mapleton,"6015 18 AVENUE BROOKLYN, NY 11204",40.595216,-73.974594
P.S. 048 William Wordsworth,"108-29 155 STREET QUEENS, NY 11433",40.69357,-73.796108
P.S. 049 Dorothy Bonawit Kole,"63-60 80th Street QUEENS, NY 11379",40.719518,-73.875034
P.S. 052 John C. Thompson,"450 BUEL AVENUE STATEN ISLAND, NY 10305",40.58247,-74.088403
P.S. 052 Sheepshead Bay,"2675 EAST 29 STREET BROOKLYN, NY 11235",40.587404,-73.940252
P.S. 053 Basheer Quisim,"360 EAST 168 STREET BRONX, NY 10456",40.832764,-73.911504
P.S. 053 Bay Terrace,"330 DURANT AVENUE STATEN ISLAND, NY 10308",40.552129,-74.137382
P.S. 054 Charles W. Leng,"1060 WILLOWBROOK ROAD STATEN ISLAND, NY 10314",40.603084,-74.137706
P.S. 055 Henry M. Boehm,"54 OSBORNE STREET STATEN ISLAND, NY 10312",40.536556,-74.163617
P.S. 056 Norwood Heights,"341 EAST 207 STREET BRONX, NY 10467",40.87526,-73.875041
P.S. 057 Crescent,"2111 CROTONA AVENUE BRONX, NY 10457",40.848646,-73.888836
P.S. 057 Hubert H. Humphrey,"140 PALMA DRIVE STATEN ISLAND, NY 10304",40.611392,-74.083375
P.S. 058,"459 EAST 176 STREET BRONX, NY 10457",40.846109,-73.898846
P.S. 059 The Community School of Technology,"2185 BATHGATE AVENUE BRONX, NY 10457",40.85306,-73.893421
P.S. 060 Alice Austen,"55 MERRILL AVENUE STATEN ISLAND, NY 10314",40.61038,-74.162688
P.S. 060 Woodhaven,"91-02 88 AVENUE QUEENS, NY 11421",40.691967,-73.852964
P.S. 062 Chester Park,"97-25 108 STREET QUEENS, NY 11419",40.688636,-73.836029
P.S. 062 Inocensio Casanova,"660 FOX STREET BRONX, NY 10455",40.813974,-73.900256
P.S. 063 Author's Academy,"1260 FRANKLIN AVENUE BRONX, NY 10456",40.831071,-73.902272
P.S. 064 Robert Simon,"600 EAST 6 STREET MANHATTAN, NY 10009",40.724233,-73.981387
P.S. 066 School of Higher Expectations,"1001 JENNINGS STREET BRONX, NY 10460",40.831216,-73.886725
P.S. 067 Charles A. Dorsey,"51 SAINT EDWARDS STREET BROOKLYN, NY 11205",40.695251,-73.978039
P.S. 067 Mohegan School,"2024 MOHEGAN AVENUE BRONX, NY 10460",40.844001,-73.884536
P.S. 069 Daniel D. Tompkins,"144 KEATING PLACE STATEN ISLAND, NY 10314",40.590978,-74.157467
P.S. 069 Jackson Heights,"77-02 37 AVENUE QUEENS, NY 11372",40.749102,-73.888502
P.S. 070 Max Schoenfeld,"1691 WEEKS AVENUE BRONX, NY 10457",40.844395,-73.907769
P.S. 071 Rose E. Scala,"3040 ROBERTS AVENUE BRONX, NY 10461",40.845672,-73.829743
P.S. 072 Dr. William Dorney,"2951 DEWEY AVENUE BRONX, NY 10465",40.822896,-73.818002
P.S. 075 Mayda Cortiella,"95 GROVE STREET BROOKLYN, NY 11221",40.693102,-73.921042
P.S. 076 A. Philip Randolph,"220 WEST 121 STREET MANHATTAN, NY 10027",40.806711,-73.951244
P.S. 076 The Bennington School,"900 ADEE AVENUE BRONX, NY 10469",40.868653,-73.861171
P.S. 078 Anne Hutchinson,"1400 NEEDHAM AVENUE BRONX, NY 10469",40.878652,-73.85071
P.S. 081 Thaddeus Stevens,"990 DEKALB AVENUE BROOKLYN, NY 11221",40.6931,-73.935299
P.S. 083 Donald Hertz,"1840 BOGART AVENUE BRONX, NY 10462",40.848626,-73.858675
P.S. 083 Luis Munoz Rivera,"219 EAST 109 STREET MANHATTAN, NY 10029",40.793089,-73.942005
P.S. 084 Jose De Diego,"250 BERRY STREET BROOKLYN, NY 11211",40.714841,-73.96313
P.S. 085 Judge Charles Vallone,"23-70 31 STREET QUEENS, NY 11105",40.773009,-73.914843
P.S. 086 Kingsbridge Heights,"2756 RESERVOIR AVENUE BRONX, NY 10468",40.870024,-73.898207
P.S. 086 The Irvington,"220 IRVING AVENUE BROOKLYN, NY 11237",40.700748,-73.91766
P.S. 089 Bronx,"980 MACE AVENUE BRONX, NY 10469",40.862848,-73.859238
P.S. 091 Bronx,"2170 AQUEDUCT AVENUE BRONX, NY 10453",40.857453,-73.90844
P.S. 091 The Albany Avenue School,"532 ALBANY AVENUE BROOKLYN, NY 11203",40.661837,-73.940141
